update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,1,0,23,1,23,0,0
2,6,0,23,1,23,0,0
3,8,0,23,1,23,0,0
4,10,0,23,1,23,0,0
5,10,0,23,1,23,0,0
6,10,0,23,1,23,0,0
7,12,0,23,1,23,0,0
8,14,0,23,1,23,0,0
9,16,0,23,1,23,0,0
10,17,0,23,1,23,0,0
11,18,1,23,1,23,0,0
12,27,1,23,1,23,0,0
13,29,1,23,1,23,0,0
14,32,1,23,1,23,0,0
15,34,1,23,1,23,0,0
16,39,1,23,1,23,0,0
17,42,1,23,1,23,0,0
18,46,1,23,1,23,0,0
19,49,1,23,1,23,0,0
20,50,1,23,1,23,0,0
21,56,2,23,1,23,0,0
22,58,2,23,1,23,0,0
23,59,2,23,1,23,0,0
24,60,2,23,1,23,0,0
25,68,2,23,1,23,0,0
26,71,2,23,1,23,0,0
27,73,2,23,1,23,0,0
28,73,2,23,1,23,0,0
29,75,2,23,1,23,0,0
30,78,2,23,1,23,0,0
31,80,3,23,1,23,0,0
32,82,3,23,1,23,0,0
33,84,3,23,1,23,0,0
34,85,3,23,1,23,0,0
35,85,3,23,1,23,0,0
36,91,3,23,1,23,0,0
37,93,3,23,1,23,0,0
38,95,3,23,1,23,0,0
39,95,3,23,1,23,0,0
40,97,3,23,1,23,0,0
41,98,3,23,1,23,0,0
42,101,3,23,1,23,0,0
43,101,3,23,1,23,0,0
44,102,3,23,1,23,0,0
45,102,3,23,1,23,0,0
46,103,3,23,1,23,0,0
47,110,3,23,1,23,0,0
48,111,3,23,1,23,0,0
49,114,3,23,1,23,0,0
50,115,3,23,1,23,0,0
51,115,3,23,1,23,0,0
52,116,3,23,1,23,0,0
53,118,3,23,1,23,0,0
54,123,3,23,1,23,0,0
55,125,3,23,1,23,0,0
56,132,3,23,1,23,0,0
57,135,3,23,1,23,0,0
58,136,3,23,1,23,0,0
59,137,3,23,1,23,0,0
60,140,3,23,1,23,0,0
61,142,4,23,1,23,0,0
62,144,4,23,1,23,0,0
63,145,4,23,1,23,0,0
64,148,4,23,1,23,0,0
65,149,4,23,1,23,0,0
66,150,4,23,1,23,0,0
67,153,4,23,1,23,0,0
68,153,4,23,1,23,0,0
69,155,4,23,1,23,0,0
70,156,4,23,1,23,0,0
71,157,5,23,1,23,0,0
72,160,5,23,1,23,0,0
73,164,5,23,1,23,0,0
74,169,5,23,1,23,0,0
75,171,5,23,1,23,0,0
76,173,5,23,1,23,0,0
77,173,5,23,1,23,0,0
78,176,5,23,1,23,0,0
79,176,5,23,1,23,0,0
80,177,5,23,1,23,0,0
81,178,6,23,1,23,0,0
82,180,6,23,1,23,0,0
83,181,6,23,1,23,0,0
84,182,6,23,1,23,0,0
85,183,6,23,1,23,0,0
86,185,6,23,1,23,0,0
87,187,6,23,1,23,0,0
88,189,6,23,1,23,0,0
89,190,6,23,1,23,0,0
90,191,6,23,1,23,0,0
91,192,7,23,1,23,0,0
92,194,7,23,1,23,0,0
93,200,7,23,1,23,0,0
94,202,7,23,1,23,0,0
95,203,7,23,1,23,0,0
96,203,7,23,1,23,0,0
97,206,7,23,1,23,0,0
98,206,7,23,1,23,0,0
99,207,7,23,1,23,0,0
100,210,7,23,1,23,0,0
101,212,7,23,1,23,0,0
102,218,7,23,1,23,0,0
103,225,7,23,1,23,0,0
104,230,7,23,1,23,0,0
105,233,7,23,1,23,0,0
106,234,7,23,1,23,0,0
107,235,7,23,1,23,0,0
108,238,7,23,1,23,0,0
109,242,7,23,1,23,0,0
110,244,7,23,1,23,0,0
111,244,7,23,1,23,0,0
112,248,7,23,1,23,0,0
113,256,7,23,1,23,0,0
114,258,7,23,1,23,0,0
115,260,7,23,1,23,0,0
116,263,7,23,1,23,0,0
117,264,7,23,1,23,0,0
118,264,7,23,1,23,0,0
119,266,7,23,1,23,0,0
120,266,7,23,1,23,0,0
121,266,7,23,1,23,0,0
122,267,7,23,1,23,0,0
123,268,7,23,1,23,0,0
124,272,7,23,1,23,0,0
125,274,7,23,1,23,0,0
126,276,7,23,1,23,0,0
127,277,7,23,1,23,0,0
128,281,7,23,1,23,0,0
129,282,7,23,1,23,0,0
130,282,7,23,1,23,0,0
131,282,7,23,1,23,0,0
132,283,7,23,1,23,0,0
133,285,7,23,1,23,0,0
134,285,7,23,1,23,0,0
135,285,7,23,1,23,0,0
136,286,7,23,1,23,0,0
137,289,7,23,1,23,0,0
138,289,7,23,1,23,0,0
139,292,7,23,1,23,0,0
140,292,7,23,1,23,0,0
141,293,8,23,1,23,0,0
142,293,8,23,1,23,0,0
143,300,8,23,1,23,0,0
144,300,8,23,1,23,0,0
145,304,8,23,1,23,0,0
146,305,8,23,1,23,0,0
147,307,8,23,1,23,0,0
148,311,8,23,1,23,0,0
149,313,8,23,1,23,0,0
150,316,8,23,1,23,0,1110
151,317,8,23,1,23,0,1110
152,319,8,23,1,23,0,1110
153,324,8,23,1,23,0,1110
154,326,8,23,1,23,0,1110
