update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,9,1,39,3,15,1
2,13,1,39,3,15,1
3,18,1,39,3,15,1
4,21,1,39,3,15,1
5,33,2,39,3,15,1
6,39,2,39,3,15,1
7,41,2,39,3,15,1
8,45,3,39,3,15,1
9,46,3,39,3,15,1
10,48,3,39,3,15,1
11,51,3,39,3,15,1
12,54,3,39,3,15,1
13,64,3,39,3,15,1
14,68,3,39,3,15,1
15,70,4,39,3,15,1
16,71,5,39,3,15,1
17,71,5,39,3,15,1
18,71,5,39,3,15,1
19,74,5,39,3,15,1
20,77,6,39,3,15,1
21,79,6,39,3,15,1
22,80,6,39,3,15,1
23,81,6,39,3,15,1
24,81,6,39,3,15,1
25,84,6,39,3,15,1
26,86,6,39,3,15,1
27,91,6,39,3,15,1
28,97,6,39,3,15,1
29,104,7,39,3,15,1
30,107,8,39,3,15,1
31,109,9,39,3,15,1
32,111,10,39,3,15,1
33,116,10,39,3,15,1
34,119,10,39,3,15,1
35,121,10,39,3,15,1
36,123,10,39,3,15,1
37,127,10,39,3,15,1
38,132,11,39,3,15,1
39,133,12,39,3,15,1
40,133,12,39,3,15,1
41,134,12,39,3,15,1
42,136,12,39,3,15,1
43,144,13,39,3,15,1
44,145,13,39,3,15,1
45,148,14,39,3,15,1
46,151,15,39,3,15,1
47,152,15,39,3,15,1
48,156,15,39,3,15,1
49,161,17,39,3,15,1
50,166,17,39,3,15,1
51,168,17,39,3,15,1
52,168,17,39,3,15,1
53,168,17,39,3,15,1
54,172,17,39,3,15,1
55,176,17,39,3,15,1
56,181,18,39,3,15,1
57,184,19,39,3,15,1
58,188,20,39,3,15,1
59,188,20,39,3,15,1
60,190,20,39,3,15,1
61,194,20,39,3,15,1
62,196,20,39,3,15,1
63,199,21,39,3,15,1
64,199,21,39,3,15,1
65,199,21,39,3,15,1
66,199,21,39,3,15,1
67,201,21,39,3,15,1
68,204,21,39,3,15,1
69,205,21,39,3,15,1
70,206,21,39,3,15,1
71,210,22,39,3,15,1
72,212,22,39,3,15,1
73,213,22,39,3,15,1
74,214,22,39,3,15,1
75,215,22,39,3,15,1
76,217,22,39,3,15,1
77,219,22,39,3,15,1
78,220,22,39,3,15,1
79,221,22,39,3,15,1
80,222,22,39,3,15,1
81,227,22,39,3,15,1
82,229,22,39,3,15,1
83,231,22,39,3,15,1
84,232,22,39,3,15,1
85,234,22,39,3,15,1
86,235,23,39,3,15,1
87,239,24,39,3,15,1
88,240,24,39,3,15,1
89,241,24,39,3,15,1
90,243,25,39,3,15,1
91,244,25,39,3,15,1
92,245,25,39,3,15,1
93,246,25,39,3,15,1
94,247,25,39,3,15,1
95,248,25,39,3,15,1
96,248,25,39,3,15,1
97,250,26,39,3,15,1
98,250,26,39,3,15,1
99,250,26,39,3,15,1
100,251,26,39,3,15,1
101,253,27,39,3,15,1
102,258,27,39,3,15,1
103,264,28,39,3,15,1
104,265,28,39,3,15,1
105,266,28,39,3,15,1
106,267,28,39,3,15,1
107,269,28,39,3,15,1
108,271,29,39,3,15,1
109,272,29,39,3,15,1
110,274,29,39,3,15,1
111,278,29,39,3,15,1
112,283,30,39,3,15,1
113,285,31,39,3,15,1
114,285,31,39,3,15,1
115,287,31,39,3,15,1
116,288,31,39,3,15,1
117,288,31,39,3,15,1
118,288,31,39,3,15,1
119,289,31,39,3,15,1
120,290,31,39,3,15,1
121,290,31,39,3,15,1
122,291,31,39,3,15,1
123,295,31,39,3,15,1
124,297,31,39,3,15,1
125,300,31,39,3,15,1
126,304,31,39,3,15,1
127,305,31,39,3,15,1
128,307,31,39,3,15,1
129,309,31,39,3,15,1
130,310,31,39,3,15,1
131,311,31,39,3,15,1
132,312,31,39,3,15,1
133,312,31,39,3,15,1
134,316,31,39,3,15,1
135,317,31,39,3,15,1
136,317,31,39,3,15,1
137,317,31,39,3,15,1
138,318,31,39,3,15,1
139,320,31,39,3,15,1
140,322,31,39,3,15,1
141,322,31,39,3,15,1
142,324,31,39,3,15,1
143,324,31,39,3,15,1
144,324,31,39,3,15,1
145,326,31,39,3,15,1
146,327,31,39,3,15,1
147,330,32,39,3,15,1
148,332,32,39,3,15,1
149,338,32,39,3,15,1
150,340,33,39,3,15,1
151,341,33,39,3,15,1
152,341,33,39,3,15,1
153,342,33,39,3,15,1
154,342,33,39,3,15,1
155,342,33,39,3,15,1
156,343,33,39,3,15,1
157,345,33,39,3,15,1
158,348,33,39,3,15,1
159,354,34,39,3,15,1
160,355,34,39,3,15,1
161,357,34,39,3,15,1
162,359,35,39,3,15,1
163,360,35,39,3,15,1
164,361,35,39,3,15,1
165,366,35,39,3,15,1
166,368,36,39,3,15,1
167,369,36,39,3,15,1
168,374,37,39,3,15,1
169,374,37,39,3,15,1
170,376,37,39,3,15,1
171,376,37,39,3,15,1
172,376,37,39,3,15,1
173,378,37,39,3,15,1
174,381,37,39,3,15,1
175,382,37,39,3,15,1
176,384,37,39,3,15,1
177,389,38,39,3,15,1
178,391,38,39,3,15,1
179,394,38,39,3,15,1
180,395,38,39,3,15,1
181,398,39,39,3,15,1
182,400,39,39,3,15,1
183,404,39,39,3,15,1
184,405,40,39,3,15,1
185,410,40,39,3,15,1
186,412,40,39,3,15,1
187,412,40,39,3,15,1
188,414,40,39,3,15,1
189,416,41,39,3,15,1
190,418,41,39,3,15,1
191,421,41,39,3,15,1
192,422,41,39,3,15,1
193,425,42,39,3,15,1
194,431,43,39,3,15,1
195,442,43,39,3,15,1
196,446,44,39,3,15,1
197,447,45,39,3,15,1
198,448,45,39,3,15,1
199,449,45,39,3,15,1
200,450,45,39,3,15,1
201,452,46,39,3,15,1
202,452,46,39,3,15,1
203,454,46,39,3,15,1
204,455,46,39,3,15,1
205,457,46,39,3,15,1
206,459,46,39,3,15,1
207,462,46,39,3,15,1
208,464,47,39,3,15,1
209,464,47,39,3,15,1
210,465,47,39,3,15,1
211,466,47,39,3,15,1
212,468,47,39,3,15,1
213,468,47,39,3,15,1
214,468,47,39,3,15,1
215,468,47,39,3,15,1
216,468,47,39,3,15,1
217,468,47,39,3,15,1
218,470,47,39,3,15,1
219,472,47,39,3,15,1
220,472,47,39,3,15,1
221,476,47,39,3,15,1
222,480,48,39,3,15,1
223,488,48,39,3,15,1
224,490,48,39,3,15,1
225,493,48,39,3,15,1
226,497,49,39,3,15,1
227,498,49,39,3,15,1
228,500,50,39,3,15,1
229,503,51,39,3,15,1
230,508,51,39,3,15,1
231,510,51,39,3,15,1
232,511,51,39,3,15,1
233,512,51,39,3,15,1
234,516,51,39,3,15,1
235,521,52,39,3,15,1
236,526,53,39,3,15,1
237,530,53,39,3,15,1
238,532,53,39,3,15,1
239,534,53,39,3,15,1
240,536,54,39,3,15,1
241,538,54,39,3,15,1
242,539,55,39,3,15,1
243,539,55,39,3,15,1
244,541,56,39,3,15,1
245,542,56,39,3,15,1
246,544,56,39,3,15,1
247,550,58,39,3,15,1
248,551,58,39,3,15,1
249,552,58,39,3,15,1
250,554,58,39,3,15,1
251,557,59,39,3,15,1
252,559,59,39,3,15,1
253,562,59,39,3,15,1
254,566,59,39,3,15,1
255,570,59,39,3,15,1
256,572,60,39,3,15,1
257,572,60,39,3,15,1
258,572,60,39,3,15,1
259,573,61,39,3,15,1
260,573,61,39,3,15,1
261,573,61,39,3,15,1
262,574,61,39,3,15,1
263,576,61,39,3,15,1
264,577,61,39,3,15,1
265,581,61,39,3,15,1
266,584,62,39,3,15,1
267,586,62,39,3,15,1
268,590,62,39,3,15,1
269,590,62,39,3,15,1
270,592,62,39,3,15,1
271,595,62,39,3,15,1
272,595,62,39,3,15,1
273,597,62,39,3,15,1
274,600,62,39,3,15,1
275,603,63,39,3,15,1
276,604,63,39,3,15,1
277,604,63,39,3,15,1
278,605,63,39,3,15,1
279,607,63,39,3,15,1
280,609,63,39,3,15,1
281,610,63,39,3,15,1
282,610,63,39,3,15,1
283,610,63,39,3,15,1
284,611,63,39,3,15,1
285,611,63,39,3,15,1
286,614,63,39,3,15,1
