update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,4,0,27,7,9,0,0
2,8,0,27,7,9,0,0
3,15,0,27,7,9,0,0
4,18,0,27,7,9,0,0
5,21,0,27,7,9,0,0
6,28,0,27,7,9,0,0
7,32,0,27,7,9,0,0
8,36,0,27,7,9,0,0
9,40,0,27,7,9,0,0
10,45,0,27,7,9,0,0
11,46,0,27,7,9,0,0
12,47,0,27,7,9,0,0
13,49,0,27,7,9,0,0
14,50,0,27,7,9,0,0
15,50,0,27,7,9,0,0
16,52,0,27,7,9,0,0
17,54,0,27,7,9,0,0
18,62,0,27,7,9,0,0
19,65,0,27,7,9,0,0
20,70,0,27,7,9,0,0
21,71,1,27,7,9,0,0
22,72,1,27,7,9,0,0
23,74,1,27,7,9,0,0
24,77,1,27,7,9,0,0
25,80,1,27,7,9,0,0
26,84,1,27,7,9,0,0
27,90,1,27,7,9,0,0
28,94,1,27,7,9,0,0
29,100,1,27,7,9,0,0
30,104,1,27,7,9,0,0
31,108,1,27,7,9,0,0
32,112,1,27,7,9,0,0
33,113,1,27,7,9,0,0
34,114,1,27,7,9,0,0
35,115,1,27,7,9,0,0
36,116,1,27,7,9,0,0
37,116,1,27,7,9,0,0
38,119,1,27,7,9,0,0
39,124,1,27,7,9,0,0
40,126,1,27,7,9,0,0
41,127,1,27,7,9,0,0
42,129,1,27,7,9,0,0
43,130,1,27,7,9,0,0
44,132,1,27,7,9,0,0
45,136,1,27,7,9,0,0
46,137,1,27,7,9,0,0
47,138,1,27,7,9,0,0
48,141,1,27,7,9,0,0
49,143,1,27,7,9,0,0
50,146,1,27,7,9,0,0
51,153,2,27,7,9,0,0
52,156,2,27,7,9,0,0
53,157,2,27,7,9,0,0
54,158,2,27,7,9,0,0
55,160,2,27,7,9,0,0
56,162,2,27,7,9,0,0
57,172,2,27,7,9,0,0
58,175,2,27,7,9,0,0
59,177,2,27,7,9,0,0
60,179,2,27,7,9,0,0
61,181,3,27,7,9,0,0
62,181,3,27,7,9,0,0
63,182,3,27,7,9,0,0
64,183,3,27,7,9,0,0
65,186,3,27,7,9,0,0
66,187,3,27,7,9,0,0
67,196,3,27,7,9,0,0
68,199,3,27,7,9,0,0
69,200,3,27,7,9,0,0
70,202,3,27,7,9,0,0
71,203,4,27,7,9,0,0
72,206,4,27,7,9,0,0
73,209,4,27,7,9,0,0
74,210,4,27,7,9,0,0
75,211,4,27,7,9,0,0
76,212,4,27,7,9,0,0
77,214,4,27,7,9,0,0
78,220,4,27,7,9,0,0
79,222,4,27,7,9,0,0
80,224,4,27,7,9,0,0
81,229,4,27,7,9,0,0
82,231,4,27,7,9,0,0
83,234,4,27,7,9,0,0
84,238,4,27,7,9,0,0
85,238,4,27,7,9,0,0
86,239,4,27,7,9,0,0
87,241,4,27,7,9,0,0
88,243,4,27,7,9,0,0
89,244,4,27,7,9,0,0
90,246,4,27,7,9,0,0
91,250,5,27,7,9,0,0
92,256,5,27,7,9,0,0
93,261,5,27,7,9,0,0
94,264,5,27,7,9,0,0
95,270,5,27,7,9,0,0
96,272,5,27,7,9,0,0
97,276,5,27,7,9,0,0
98,284,5,27,7,9,0,0
99,286,5,27,7,9,0,0
100,287,5,27,7,9,0,0
101,289,6,27,7,9,0,0
102,292,6,27,7,9,0,0
103,294,6,27,7,9,0,0
104,295,6,27,7,9,0,0
105,297,6,27,7,9,0,0
106,297,6,27,7,9,0,0
107,298,6,27,7,9,0,0
108,299,6,27,7,9,0,0
109,300,6,27,7,9,0,0
110,301,6,27,7,9,0,0
111,303,6,27,7,9,0,0
112,306,6,27,7,9,0,0
113,306,6,27,7,9,0,0
114,308,6,27,7,9,0,0
115,311,6,27,7,9,0,0
116,317,6,27,7,9,0,0
117,321,6,27,7,9,0,0
118,325,6,27,7,9,0,0
119,326,6,27,7,9,0,0
120,334,6,27,7,9,0,0
121,337,6,27,7,9,0,0
122,340,6,27,7,9,0,0
123,340,6,27,7,9,0,0
124,341,6,27,7,9,0,0
125,344,6,27,7,9,0,0
126,347,6,27,7,9,0,0
127,349,6,27,7,9,0,0
128,351,6,27,7,9,0,0
129,354,6,27,7,9,0,0
130,358,6,27,7,9,0,0
131,360,6,27,7,9,0,0
132,366,6,27,7,9,0,0
133,368,6,27,7,9,0,0
134,370,6,27,7,9,0,0
135,372,6,27,7,9,0,0
136,375,6,27,7,9,0,0
137,378,6,27,7,9,0,0
138,380,6,27,7,9,0,0
139,382,6,27,7,9,0,0
140,384,6,27,7,9,0,0
141,386,6,27,7,9,0,0
142,388,6,27,7,9,0,0
143,390,6,27,7,9,0,0
144,391,6,27,7,9,0,0
145,392,6,27,7,9,0,0
146,393,6,27,7,9,0,0
147,395,6,27,7,9,0,0
148,397,6,27,7,9,0,0
149,399,6,27,7,9,0,0
150,403,6,27,7,9,0,1349
151,405,7,27,7,9,0,1349
152,408,7,27,7,9,0,1349
153,410,7,27,7,9,0,1349
154,414,7,27,7,9,0,1349
