rep update prey_seen prey_consumed predator_vision predator_vision_height predator_vision_width attack_efficiency predator_fitness
0 0 0 0 0 0 0 0 0

0 1 2 1 36 2 19 0 0

0 2 3 1 36 2 19 0 0

0 3 4 1 36 2 19 0 0

0 4 7 1 36 2 19 0 0

0 5 10 1 36 2 19 0 0

0 6 12 1 36 2 19 0 0

0 7 17 1 36 2 19 0 0

0 8 25 1 36 2 19 0 0

0 9 29 1 36 2 19 0 0

0 10 36 1 36 2 19 0 0

0 11 37 2 36 2 19 0 0

0 12 37 2 36 2 19 0 0

0 13 40 2 36 2 19 0 0

0 14 45 2 36 2 19 0 0

0 15 47 2 36 2 19 0 0

0 16 52 2 36 2 19 0 0

0 17 55 2 36 2 19 0 0

0 18 65 2 36 2 19 0 0

0 19 73 2 36 2 19 0 0

0 20 76 2 36 2 19 0 0

0 21 83 3 36 2 19 0 0

0 22 88 3 36 2 19 0 0

0 23 89 3 36 2 19 0 0

0 24 92 3 36 2 19 0 0

0 25 93 3 36 2 19 0 0

0 26 95 3 36 2 19 0 0

0 27 99 3 36 2 19 0 0

0 28 104 3 36 2 19 0 0

0 29 105 3 36 2 19 0 0

0 30 112 3 36 2 19 0 0

0 31 118 4 36 2 19 0 0

0 32 120 4 36 2 19 0 0

0 33 120 4 36 2 19 0 0

0 34 123 4 36 2 19 0 0

0 35 124 4 36 2 19 0 0

0 36 127 4 36 2 19 0 0

0 37 127 4 36 2 19 0 0

0 38 128 4 36 2 19 0 0

0 39 129 4 36 2 19 0 0

0 40 131 4 36 2 19 0 0

0 41 132 5 36 2 19 0 0

0 42 135 5 36 2 19 0 0

0 43 135 5 36 2 19 0 0

0 44 140 5 36 2 19 0 0

0 45 143 5 36 2 19 0 0

0 46 146 5 36 2 19 0 0

0 47 153 5 36 2 19 0 0

0 48 155 5 36 2 19 0 0

0 49 164 5 36 2 19 0 0

0 50 168 5 36 2 19 0 0

0 51 172 5 36 2 19 0 0

0 52 179 5 36 2 19 0 0

0 53 182 5 36 2 19 0 0

0 54 184 5 36 2 19 0 0

0 55 187 5 36 2 19 0 0

0 56 192 5 36 2 19 0 0

0 57 196 5 36 2 19 0 0

0 58 199 5 36 2 19 0 0

0 59 201 5 36 2 19 0 0

0 60 202 5 36 2 19 0 0

0 61 203 6 36 2 19 0 0

0 62 206 6 36 2 19 0 0

0 63 207 6 36 2 19 0 0

0 64 216 6 36 2 19 0 0

0 65 218 6 36 2 19 0 0

0 66 219 6 36 2 19 0 0

0 67 221 6 36 2 19 0 0

0 68 227 6 36 2 19 0 0

0 69 231 6 36 2 19 0 0

0 70 233 6 36 2 19 0 0

0 71 234 7 36 2 19 0 0

0 72 234 7 36 2 19 0 0

0 73 235 7 36 2 19 0 0

0 74 237 7 36 2 19 0 0

0 75 239 7 36 2 19 0 0

0 76 241 7 36 2 19 0 0

0 77 242 7 36 2 19 0 0

0 78 243 7 36 2 19 0 0

0 79 245 7 36 2 19 0 0

0 80 247 7 36 2 19 0 0

0 81 249 8 36 2 19 0 0

0 82 250 8 36 2 19 0 0

0 83 251 8 36 2 19 0 0

0 84 252 8 36 2 19 0 0

0 85 253 8 36 2 19 0 0

0 86 255 8 36 2 19 0 0

0 87 257 8 36 2 19 0 0

0 88 268 8 36 2 19 0 0

0 89 270 8 36 2 19 0 0

0 90 273 8 36 2 19 0 0

0 91 279 9 36 2 19 0 0

0 92 281 9 36 2 19 0 0

0 93 284 9 36 2 19 0 0

0 94 287 9 36 2 19 0 0

0 95 290 9 36 2 19 0 0

0 96 291 9 36 2 19 0 0

0 97 296 9 36 2 19 0 0

0 98 297 9 36 2 19 0 0

0 99 300 9 36 2 19 0 0

0 100 301 9 36 2 19 0 0

0 101 304 10 36 2 19 0 0

0 102 306 10 36 2 19 0 0

0 103 307 10 36 2 19 0 0

0 104 307 10 36 2 19 0 0

0 105 310 10 36 2 19 0 0

0 106 310 10 36 2 19 0 0

0 107 312 10 36 2 19 0 0

0 108 315 10 36 2 19 0 0

0 109 318 10 36 2 19 0 0

0 110 323 10 36 2 19 0 0

0 111 327 11 36 2 19 0 0

0 112 328 11 36 2 19 0 0

0 113 329 11 36 2 19 0 0

0 114 330 11 36 2 19 0 0

0 115 336 11 36 2 19 0 0

